Date,Dividend
2018-01-04 09:30:00,0.56
2018-04-05 09:30:00,0.56
2018-07-05 09:30:00,0.56
2018-10-04 09:30:00,0.8
2019-01-03 09:30:00,0.8
2019-04-04 09:30:00,0.8
2019-07-03 09:30:00,0.8
2019-10-03 09:30:00,0.9
2020-01-03 09:30:00,0.9
2020-04-03 09:30:00,0.9
2020-07-02 09:30:00,0.9
2020-10-05 09:30:00,0.9
2021-01-05 09:30:00,0.9
2021-04-05 09:30:00,0.9
2021-07-02 09:30:00,0.9
2021-10-05 09:30:00,1.0
2022-01-05 09:30:00,1.0
2022-04-05 09:30:00,1.0
2022-07-05 09:30:00,1.0
2022-10-05 09:30:00,1.0
2023-01-05 09:30:00,1.0
2023-04-05 09:30:00,1.0
2023-07-05 09:30:00,1.0
2023-10-05 09:30:00,1.05
2024-01-04 09:30:00,1.05
2024-04-04 09:30:00,1.15
2024-07-05 09:30:00,1.15
2024-10-04 09:30:00,1.25
